,PET,VPD,air_temp,doy,precip,soil_temp,sw_in,wind_speed,year,wp_RNET,wp_ch4_gf,wp_co2_gf,wp_er,wp_gpp,wp_h,wp_le,mb_RNET,mb_ch4_gf,mb_co2_gf,mb_er,mb_gpp,mb_h,mb_le,wp_evi,wp_lswi2,wp_ndvi,mb_evi,mb_lswi2,mb_ndvi,wp_LST.day,wp_LST.night,mb_LST.day,mb_LST.night
461,3.76,1.18210157433,17.7291666667,290,0.0,16.2583333333,16.6392,1.84166666667,2013,8.62668283394,525.788824972,-15.2544497474,22.5152148538,-37.7696646012,0.0875066248772,7.38467636873,6.12101408451,2055.91376418,-0.151508531946,35.3012367137,-35.4527452456,-0.90630211262,8.86215994521,0.2764,0.100078353254,0.517992,0.2764,0.611538461538,0.6676,27.0874493491,9.67437095765,19.3659984246,14.004547405
462,3.05,0.93283351961,16.4416666667,291,0.0,16.2,16.596,1.21666666667,2013,8.52833158829,227.008665749,-21.2238653247,17.9056765345,-39.1295418592,0.760467052551,6.1830535854,5.70143661972,1612.91511114,-3.33351366367,33.6838486388,-37.0173623025,0.0506305654852,6.85078274763,0.2743,0.0963134803826,0.517104,0.275813043478,0.610555451019,0.664430434783,27.0311542532,9.51329080214,19.143343736,13.8616516685
463,3.05,0.942092736482,16.5583333333,292,0.0,16.0666666667,16.2072,1.275,2013,8.554277278,180.960167374,-22.059641929,16.7793332475,-38.8389751765,0.919540000226,6.02964706947,5.57416901408,1466.87620273,-3.89327276386,30.1754978603,-34.0687706242,-0.657826316851,6.41739532814,0.2722,0.0925486075113,0.516216,0.275226086957,0.6095724405,0.661260869565,27.93,9.47,18.9249855119,14.21
464,3.08,0.8867655441,16.525,293,0.0,15.975,16.2756,1.41666666667,2013,8.64545246058,198.829817243,-21.6278035342,16.4739572531,-38.1017607873,0.890775984269,5.83405398077,5.44233802817,2303.60261511,4.45878168387,38.6514881021,-34.1927064183,-0.604852979023,7.76858049922,0.2701,0.08878373464,0.515328,0.274639130435,0.608589429981,0.658091304348,26.8181207499,9.25400106128,18.7109237522,13.5692455525
465,2.78,0.66219232963,15.8541666667,294,0.0,15.9166666667,15.66,1.72916666667,2013,8.22689549519,252.768542196,-22.7254247759,16.5498430805,-39.2752678564,0.898538125837,4.82092354489,5.61384507042,2149.53578753,-0.281825410505,39.2112781632,-39.4931035737,1.50095004567,6.17432107195,0.268,0.0850188617687,0.51444,0.274052173913,0.607606419462,0.65492173913,26.6067543965,9.15579147594,18.5011584571,13.4205712403
466,3.05,0.769865996768,16.725,295,0.0,15.9333333333,15.678,1.9125,2013,8.13373057812,216.615364257,-20.2098356676,16.4304425882,-36.6402782558,0.538578504513,5.188879269,5.1286056338,2035.70877824,7.84380599657,38.0789303846,-30.235124388,0.966543251735,5.96218860118,0.2659,0.0812539888974,0.513552,0.273465217391,0.606623408943,0.651752173913,26.3163836511,9.07853874731,18.2956896264,13.2703887697
467,3.15,0.722677515544,16.5083333333,296,0.0,16.15,15.4944,2.97083333333,2013,6.99205446045,379.65332143,-20.5988204115,19.3574973683,-39.9563177798,-1.22893863806,5.96822283338,5.18032394366,2451.93444485,7.86292116442,41.4381383903,-33.5752172259,1.22281980178,7.41946710254,0.2638,0.0774891160261,0.512664,0.27287826087,0.605640398424,0.648582608696,25.9470085135,9.0222428754,18.0945172602,13.1186981408
468,3.0,0.419951280969,13.7,297,0.0,16.225,15.1632,5.0625,2013,6.79154437922,362.070290984,-24.6849277888,23.9672203064,-48.6521480952,0.287561200887,4.00964999491,4.61953521127,1721.55537368,1.7276128605,41.570754296,-39.8431414355,1.89520978984,6.49531850855,0.2617,0.0737242431548,0.511776,0.272291304348,0.604657387905,0.645413043478,25.4986289838,8.98690386021,17.8976413585,12.9654993536
469,2.68,0.537044023531,14.8583333333,298,0.0,16.0875,14.4756,2.6625,2013,6.64024293905,349.158347438,-19.4198190435,17.2893675368,-36.7091865803,0.315081044921,4.38092850661,4.53638028169,1535.47478636,2.13946365796,39.8207381925,-37.6812745345,0.86325222921,5.05765396225,0.2596,0.0699593702835,0.510888,0.271704347826,0.603674377386,0.642243478261,24.971245062,8.97252170174,17.7050619213,12.8107924081
470,2.76,0.673676618572,15.2833333333,299,0.0,15.8333333333,15.1308,1.50833333333,2013,7.88850690055,184.079592393,-18.8354992223,15.2465477887,-34.082047011,1.29853546249,4.83418654957,4.96838028169,1652.54136697,-4.19305387303,35.0381100403,-39.2311639133,0.96798212702,5.22827069154,0.2575,0.0661944974121,0.51,0.271117391304,0.602691366867,0.639073913043,24.3648567482,8.97909639999,17.5167789486,12.6545773042
